一个陌生女人的来信,8.7,44523人评价,https://book.douban.com/subject/2154960/,暗恋的极致
蔡康永的说话之道,7.2,49511人评价,https://book.douban.com/subject/5317075/,会说话的人运气都不会太差
偷影子的人,7.8,51804人评价,https://book.douban.com/subject/10763902/,为偷来的影子找到光芒
陪安东尼度过漫长岁月,8.4,42531人评价,https://book.douban.com/subject/3014576/,真正的片段式写作
沉默的大多数,9.1,42191人评价,https://book.douban.com/subject/1054685/,沉默是沉默者的通行证
白鹿原,8.6,44149人评价,https://book.douban.com/subject/1085799/,中国乡村史诗
芒果街上的小屋,7.8,44404人评价,https://book.douban.com/subject/1794620/,那些微尘般漂浮的生活
羊脂球,8.1,43801人评价,https://book.douban.com/subject/1205370/,资产阶级的道貌岸然
鲁滨逊漂流记,8.0,44662人评价,https://book.douban.com/subject/1016003/,最早的荒野求生
灌篮高手31,9.5,27036人评价,https://book.douban.com/subject/1221515/,全剧终
撒哈拉的故事,9.2,38891人评价,https://book.douban.com/subject/1060068/,游荡的自由灵魂
巴黎圣母院,8.3,42318人评价,https://book.douban.com/subject/1024197/,潜藏于残缺下的美与崇高
肖申克的救赎,9.1,39095人评价,https://book.douban.com/subject/1829226/,希望让人自由，电影实在太有名
麦田里的守望者,8.1,42808人评价,https://book.douban.com/subject/2053249/,反英雄霍尔顿的一生
无声告白,8.2,46148人评价,https://book.douban.com/subject/26382433/,莉迪亚死了，可他们还不知道
嫌疑人X的献身,9.0,38861人评价,https://book.douban.com/subject/4117922/,东野说，这是最纯粹的爱情
山楂树之恋,7.8,41188人评价,https://book.douban.com/subject/2243213/,明净单纯
华胥引（全二册）,8.5,39685人评价,https://book.douban.com/subject/5916880/,现实不如梦中的圆满
地下铁,8.3,39564人评价,https://book.douban.com/subject/1056733/,黑暗世界中的点滴亮光
且听风吟,7.8,42421人评价,https://book.douban.com/subject/1039752/,我们通过孤独与世界沟通
钢铁是怎样炼成的,7.6,43426人评价,https://book.douban.com/subject/1013502/,激情燃烧的岁月，特殊年代的经典
红玫瑰与白玫瑰,8.4,39954人评价,https://book.douban.com/subject/1014278/,蚊子血还是饭黏子？
人生若只如初见,7.2,43196人评价,https://book.douban.com/subject/1856285/,是“何事秋风悲画扇”，不是西风
人间失格,8.3,44761人评价,https://book.douban.com/subject/4011670/,令人无从怜悯的绝望
鬼吹灯之精绝古城,8.1,40123人评价,https://book.douban.com/subject/1882933/,盗墓祖师名不虚传
安徒生童话故事集,9.2,35851人评价,https://book.douban.com/subject/1046209/,远不是童话那么简单
呐喊,8.8,37553人评价,https://book.douban.com/subject/1449351/,新文学的第一声呐喊
